LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
2.305000E+3	2.311006E+3	1.902733E+1	1.453463E+1	4.348666E-1
2.306000E+3	2.315742E+3	2.589821E+1	1.445261E+1	5.877100E-1
2.307000E+3	2.324155E+3	3.391518E+1	1.428752E+1	7.659210E-1
2.308000E+3	2.337401E+3	4.089143E+1	1.401345E+1	9.200187E-1
2.309000E+3	2.354325E+3	4.348666E+1	1.365663E+1	9.747824E-1
2.310000E+3	2.370870E+3	4.020200E+1	1.330851E+1	8.967701E-1
2.311000E+3	2.383393E+3	3.323058E+1	1.305097E+1	7.356891E-1
2.312000E+3	2.391325E+3	2.587795E+1	1.289646E+1	5.660677E-1
2.313000E+3	2.395979E+3	1.997881E+1	1.281531E+1	4.292319E-1
2.314000E+3	2.398745E+3	1.588933E+1	1.277623E+1	3.333344E-1
2.315000E+3	2.400523E+3	1.330877E+1	1.275909E+1	2.718427E-1
2.316000E+3	2.401801E+3	1.180045E+1	1.275301E+1	2.350835E-1
2.317000E+3	2.402829E+3	1.099383E+1	1.275245E+1	2.146776E-1
2.318000E+3	2.403739E+3	1.062913E+1	1.275455E+1	2.046174E-1
2.319000E+3	2.404601E+3	1.054008E+1	1.275778E+1	2.010039E-1
2.320000E+3	2.405457E+3	1.062322E+1	1.276127E+1	2.014082E-1
2.321000E+3	2.406332E+3	1.081337E+1	1.276449E+1	2.043110E-1
2.322000E+3	2.407240E+3	1.106833E+1	1.276710E+1	2.087356E-1
2.323000E+3	2.408195E+3	1.136024E+1	1.276889E+1	2.140370E-1
2.324000E+3	2.409200E+3	1.167085E+1	1.276972E+1	2.197862E-1
2.325000E+3	2.410261E+3	1.198896E+1	1.276950E+1	2.257073E-1
2.326000E+3	2.411380E+3	1.230894E+1	1.276820E+1	2.316421E-1
2.327000E+3	2.412557E+3	1.262988E+1	1.276577E+1	2.375293E-1
2.328000E+3	2.413796E+3	1.295477E+1	1.276221E+1	2.433897E-1
